"","estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno","estados_sigla","UF"
"511","Goiás","José Serra","PSDB","PSDB",1490368,1.5,"Presidente",2010,"Turno 2","GO","GO"
"512","Distrito Federal","José Serra","PSDB","PSDB",633299,0.64,"Presidente",2010,"Turno 2","DF","DF"
"513","Rondônia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",345167,0.33,"Presidente",2014,"Turno 1","RO","RO"
"514","Acre","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",111610,0.11,"Presidente",2014,"Turno 1","AC","AC"
"515","Amazonas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",915030,0.88,"Presidente",2014,"Turno 1","AM","AM"
"516","Roraima","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",82857,0.08,"Presidente",2014,"Turno 1","RR","RR"
"517","Pará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2040696,1.97,"Presidente",2014,"Turno 1","PA","PA"
"518","Amapá","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",198939,0.19,"Presidente",2014,"Turno 1","AP","AP"
"519","Tocantins","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",368348,0.35,"Presidente",2014,"Turno 1","TO","TO"
"520","Maranhão","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2187668,2.11,"Presidente",2014,"Turno 1","MA","MA"
"521","Piauí","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1235203,1.19,"Presidente",2014,"Turno 1","PI","PI"
"522","Ceará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",3087115,2.97,"Presidente",2014,"Turno 1","CE","CE"
"523","R. G. do Norte","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",999452,0.96,"Presidente",2014,"Turno 1","RN","RN"
"524","Paraíba","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1166632,1.12,"Presidente",2014,"Turno 1","PB","PB"
"525","Pernambuco","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2126491,2.05,"Presidente",2014,"Turno 1","PE","PE"
"526","Alagoas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",703674,0.68,"Presidente",2014,"Turno 1","AL","AL"
"527","Sergipe","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",601578,0.58,"Presidente",2014,"Turno 1","SE","SE"
"528","Bahia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4292325,4.14,"Presidente",2014,"Turno 1","BA","BA"
"529","Minas Gerais","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4829513,4.65,"Presidente",2014,"Turno 1","MG","MG"
"530","Espírito Santo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",653469,0.63,"Presidente",2014,"Turno 1","ES","ES"
"531","Rio de Janeiro","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2970486,2.86,"Presidente",2014,"Turno 1","RJ","RJ"
"532","São Paulo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5927503,5.71,"Presidente",2014,"Turno 1","SP","SP"
"533","Paraná","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1972761,1.9,"Presidente",2014,"Turno 1","PR","PR"
"534","Santa Catarina","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1140432,1.1,"Presidente",2014,"Turno 1","SC","SC"
"535","R. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2751098,2.65,"Presidente",2014,"Turno 1","RS","RS"
"536","M. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",506951,0.49,"Presidente",2014,"Turno 1","MS","MS"
"537","Mato Grosso","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",616265,0.59,"Presidente",2014,"Turno 1","MT","MT"
"538","Goiás","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1035673,1,"Presidente",2014,"Turno 1","GO","GO"
"539","Distrito Federal","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",362511,0.35,"Presidente",2014,"Turno 1","DF","DF"
"540","Rondônia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",371692,0.36,"Presidente",2014,"Turno 1","RO","RO"
"541","Acre","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",116015,0.11,"Presidente",2014,"Turno 1","AC","AC"
"542","Amazonas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",325734,0.31,"Presidente",2014,"Turno 1","AM","AM"
"543","Roraima","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",108903,0.1,"Presidente",2014,"Turno 1","RR","RR"
"544","Pará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1057860,1.02,"Presidente",2014,"Turno 1","PA","PA"
"545","Amapá","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",99046,0.1,"Presidente",2014,"Turno 1","AP","AP"
"546","Tocantins","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",202882,0.2,"Presidente",2014,"Turno 1","TO","TO"
"547","Maranhão","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",365443,0.35,"Presidente",2014,"Turno 1","MA","MA"
"548","Piauí","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",242069,0.23,"Presidente",2014,"Turno 1","PI","PI"
"549","Ceará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",676743,0.65,"Presidente",2014,"Turno 1","CE","CE"
"550","R. G. do Norte","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",329866,0.32,"Presidente",2014,"Turno 1","RN","RN"
"551","Paraíba","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",490516,0.47,"Presidente",2014,"Turno 1","PB","PB"
"552","Pernambuco","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",284771,0.27,"Presidente",2014,"Turno 1","PE","PE"
"553","Alagoas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",311576,0.3,"Presidente",2014,"Turno 1","AL","AL"
"554","Sergipe","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",248424,0.24,"Presidente",2014,"Turno 1","SE","SE"
"555","Bahia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1276603,1.23,"Presidente",2014,"Turno 1","BA","BA"
"556","Minas Gerais","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",4414452,4.25,"Presidente",2014,"Turno 1","MG","MG"
"557","Espírito Santo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",692952,0.67,"Presidente",2014,"Turno 1","ES","ES"
"558","Rio de Janeiro","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2246363,2.16,"Presidente",2014,"Turno 1","RJ","RJ"
"559","São Paulo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",10152688,9.78,"Presidente",2014,"Turno 1","SP","SP"
"560","Paraná","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3018548,2.91,"Presidente",2014,"Turno 1","PR","PR"
"561","Santa Catarina","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1961224,1.89,"Presidente",2014,"Turno 1","SC","SC"
"562","R. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2637238,2.54,"Presidente",2014,"Turno 1","RS","RS"
"563","M. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",558331,0.54,"Presidente",2014,"Turno 1","MS","MS"
"564","Mato Grosso","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",693251,0.67,"Presidente",2014,"Turno 1","MT","MT"
"565","Goiás","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1340441,1.29,"Presidente",2014,"Turno 1","GO","GO"
"566","Distrito Federal","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",568371,0.55,"Presidente",2014,"Turno 1","DF","DF"
"567","Rondônia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",364055,0.35,"Presidente",2014,"Turno 2","RO","RO"
"568","Acre","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",138922,0.13,"Presidente",2014,"Turno 2","AC","AC"
"569","Amazonas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1033090,0.98,"Presidente",2014,"Turno 2","AM","AM"
"570","Roraima","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",97329,0.09,"Presidente",2014,"Turno 2","RR","RR"
"571","Pará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2103829,2,"Presidente",2014,"Turno 2","PA","PA"
"572","Amapá","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",227414,0.22,"Presidente",2014,"Turno 2","AP","AP"
"573","Tocantins","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",428662,0.41,"Presidente",2014,"Turno 2","TO","TO"
"574","Maranhão","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2475762,2.35,"Presidente",2014,"Turno 2","MA","MA"
"575","Piauí","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1385096,1.31,"Presidente",2014,"Turno 2","PI","PI"
"576","Ceará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",3522225,3.34,"Presidente",2014,"Turno 2","CE","CE"
"577","R. G. do Norte","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1201576,1.14,"Presidente",2014,"Turno 2","RN","RN"
"578","Paraíba","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1380988,1.31,"Presidente",2014,"Turno 2","PB","PB"
"579","Pernambuco","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",3438165,3.26,"Presidente",2014,"Turno 2","PE","PE"
"580","Alagoas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",941286,0.89,"Presidente",2014,"Turno 2","AL","AL"
"581","Sergipe","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",772253,0.73,"Presidente",2014,"Turno 2","SE","SE"
"582","Bahia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5059228,4.8,"Presidente",2014,"Turno 2","BA","BA"
"583","Minas Gerais","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5979422,5.68,"Presidente",2014,"Turno 2","MG","MG"
"584","Espírito Santo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",911906,0.87,"Presidente",2014,"Turno 2","ES","ES"
"585","Rio de Janeiro","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4488183,4.26,"Presidente",2014,"Turno 2","RJ","RJ"
"586","São Paulo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",8488383,8.06,"Presidente",2014,"Turno 2","SP","SP"
"587","Paraná","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2408740,2.29,"Presidente",2014,"Turno 2","PR","PR"
"588","Santa Catarina","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1353808,1.29,"Presidente",2014,"Turno 2","SC","SC"
"589","R. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2997360,2.85,"Presidente",2014,"Turno 2","RS","RS"
"590","M. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",590835,0.56,"Presidente",2014,"Turno 2","MS","MS"
"591","Mato Grosso","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",717230,0.68,"Presidente",2014,"Turno 2","MT","MT"
"592","Goiás","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1365658,1.3,"Presidente",2014,"Turno 2","GO","GO"
"593","Distrito Federal","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",580581,0.55,"Presidente",2014,"Turno 2","DF","DF"
"594","Rondônia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",442349,0.42,"Presidente",2014,"Turno 2","RO","RO"
"595","Acre","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",243530,0.23,"Presidente",2014,"Turno 2","AC","AC"
"596","Amazonas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",555810,0.53,"Presidente",2014,"Turno 2","AM","AM"
"597","Roraima","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",139477,0.13,"Presidente",2014,"Turno 2","RR","RR"
"598","Pará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1560470,1.48,"Presidente",2014,"Turno 2","PA","PA"
"599","Amapá","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",142664,0.14,"Presidente",2014,"Turno 2","AP","AP"
"600","Tocantins","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",291848,0.28,"Presidente",2014,"Turno 2","TO","TO"
"601","Maranhão","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",667517,0.63,"Presidente",2014,"Turno 2","MA","MA"
"602","Piauí","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",383884,0.36,"Presidente",2014,"Turno 2","PI","PI"
"603","Ceará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1067096,1.01,"Presidente",2014,"Turno 2","CE","CE"
"604","R. G. do Norte","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",516011,0.49,"Presidente",2014,"Turno 2","RN","RN"
"605","Paraíba","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",767916,0.73,"Presidente",2014,"Turno 2","PB","PB"
"606","Pernambuco","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1459266,1.39,"Presidente",2014,"Turno 2","PE","PE"
"607","Alagoas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",574012,0.54,"Presidente",2014,"Turno 2","AL","AL"
"608","Sergipe","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",380222,0.36,"Presidente",2014,"Turno 2","SE","SE"
"609","Bahia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2151922,2.04,"Presidente",2014,"Turno 2","BA","BA"
"610","Minas Gerais","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",5428821,5.15,"Presidente",2014,"Turno 2","MG","MG"
"611","Espírito Santo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1064067,1.01,"Presidente",2014,"Turno 2","ES","ES"
"612","Rio de Janeiro","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3681088,3.49,"Presidente",2014,"Turno 2","RJ","RJ"
"613","São Paulo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",15296289,14.52,"Presidente",2014,"Turno 2","SP","SP"
"614","Paraná","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3765025,3.57,"Presidente",2014,"Turno 2","PR","PR"
"615","Santa Catarina","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2469079,2.34,"Presidente",2014,"Turno 2","SC","SC"
"616","R. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3452455,3.28,"Presidente",2014,"Turno 2","RS","RS"
"617","M. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",762233,0.72,"Presidente",2014,"Turno 2","MS","MS"
"618","Mato Grosso","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",864999,0.82,"Presidente",2014,"Turno 2","MT","MT"
"619","Goiás","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1818087,1.73,"Presidente",2014,"Turno 2","GO","GO"
"620","Distrito Federal","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",943275,0.9,"Presidente",2014,"Turno 2","DF","DF"
